"season","periods__names__001","periods__names__002","periods__scores__001","periods__scores__002"
"","JoshAllenBrown Town Clowns","Diddlers on the Roof","118.0","94.6"
"","Team Trosch","Brown Town Clowns","80.3","77.4"
"","Black Juliet's","Medical Malpractice","85.3","98.5"
"","The Brady Bunch","The Little Giants","118.2","98.5"
"","Team Girth Brooks","Team Shernisky","66.5","74.6"
"","The Waiver Wire","Dirty Dick Dave","83.1","103.7"
"","Big Dick Nick","Meadville Militia","71.3","73.5"
"","JoshAllenBrown Town Clowns","Team Trosch","82.1","87.3"
"","Brown Town Clowns","Black Juliet's","141.9","87.3"
"","Diddlers on the Roof","The Brady Bunch","111.4","97.6"
"","Medical Malpractice","Team Girth Brooks","128.9","53.7"
"","The Little Giants","The Waiver Wire","124.5","93.7"
"","Team Shernisky","Big Dick Nick","96.6","144.6"
"","Dirty Dick Dave","Meadville Militia","77.0","128.2"
"","The Brady Bunch","JoshAllenBrown Town Clowns","97.0","88.9"
"","Team Trosch","Black Juliet's","105.6","67.4"
"","Team Girth Brooks","Brown Town Clowns","99.4","65.0"
"","The Waiver Wire","Diddlers on the Roof","95.6","111.3"
"","Big Dick Nick","Medical Malpractice","109.1","69.3"
"","Meadville Militia","The Little Giants","72.3","132.8"
"","Dirty Dick Dave","Team Shernisky","83.7","90.9"
"","JoshAllenBrown Town Clowns","The Waiver Wire","112.6","85.5"
"","The Brady Bunch","Team Trosch","123.6","126.1"
"","Black Juliet's","Team Girth Brooks","98.5","80.3"
"","Brown Town Clowns","Big Dick Nick","75.2","91.8"
"","Diddlers on the Roof","Meadville Militia","127.9","84.7"
"","Medical Malpractice","Dirty Dick Dave","104.4","72.9"
"","The Little Giants","Team Shernisky","95.7","77.9"
"","Meadville Militia","JoshAllenBrown Town Clowns","93.0","116.8"
"","Team Trosch","Team Girth Brooks","80.9","76.0"
"","The Waiver Wire","The Brady Bunch","99.0","64.8"
"","Big Dick Nick","Black Juliet's","91.8","78.0"
"","Dirty Dick Dave","Brown Town Clowns","125.4","69.6"
"","Team Shernisky","Diddlers on the Roof","65.5","107.6"
"","The Little Giants","Medical Malpractice","121.6","83.9"
"","JoshAllenBrown Town Clowns","Team Shernisky","70.0","93.2"
"","The Waiver Wire","Team Trosch","103.1","143.0"
"","Team Girth Brooks","Big Dick Nick","94.6","76.8"
"","The Brady Bunch","Meadville Militia","85.0","119.5"
"","Black Juliet's","Dirty Dick Dave","68.5","78.4"
"","Brown Town Clowns","The Little Giants","134.4","111.3"
"","Diddlers on the Roof","Medical Malpractice","90.5","88.2"
"","Medical Malpractice","JoshAllenBrown Town Clowns","129.6","46.2"
"","Team Trosch","Big Dick Nick","84.9","104.2"
"","Meadville Militia","The Waiver Wire","98.4","93.3"
"","Dirty Dick Dave","Team Girth Brooks","111.6","82.0"
"","Team Shernisky","The Brady Bunch","68.5","99.1"
"","The Little Giants","Black Juliet's","100.7","84.2"
"","Diddlers on the Roof","Brown Town Clowns","116.5","117.7"
